🚀 Starte faire Chat-Baseline-Evaluierung...

Eintrag 1 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 2 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 3 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 4 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 5 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 6 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 7 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 8 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 9 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 10 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 11 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 12 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 13 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 14 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 15 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 16 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 17 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 18 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 19 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 20 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 21 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 22 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 23 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 24 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 25 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 26 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 27 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 28 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 29 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 30 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 31 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 32 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 33 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 34 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 35 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 36 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 37 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 38 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 39 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 40 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 41 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 42 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 43 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 44 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 45 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 46 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 47 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 48 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 49 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 50 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 51 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 52 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 53 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 54 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 55 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 56 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 57 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 58 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 59 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 60 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 61 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 62 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 63 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 64 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 65 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 66 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 67 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 68 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 69 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 70 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 71 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 72 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 73 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 74 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 75 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 76 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 77 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 78 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 79 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 80 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 81 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 82 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 83 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 84 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 85 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 86 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 87 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 88 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 89 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
